match_id,champion,win
EUW1_6963205667,Jarvan IV,True
EUW1_6963256883,Jarvan IV,True
EUW1_6962676063,Jarvan IV,True
EUW1_6963032344,Jarvan IV,False
EUW1_6962486162,Jarvan IV,False
EUW1_6962192545,Jarvan IV,True
EUW1_6963089962,Jarvan IV,True
EUW1_6962401393,Jarvan IV,True
EUW1_6962462095,Jarvan IV,False
EUW1_6963290066,Jarvan IV,True
EUW1_6963108399,Jarvan IV,True
EUW1_6962480279,Jarvan IV,False
EUW1_6961278754,Jarvan IV,False
EUW1_6962641483,Jarvan IV,True
EUW1_6962973860,Jarvan IV,True
EUW1_6963150940,Jarvan IV,True
EUW1_6962535695,Jarvan IV,False
EUW1_6961260642,Jarvan IV,False
EUW1_6961302987,Jarvan IV,False
EUW1_6961737239,Jarvan IV,True
EUW1_6962403179,Jarvan IV,False
EUW1_6962380253,Jarvan IV,True
EUW1_6962331826,Jarvan IV,False
EUW1_6962520087,Jarvan IV,False
EUW1_6962380580,Jarvan IV,False
EUW1_6962281373,Jarvan IV,False
EUW1_6961528931,Jarvan IV,True
EUW1_6959338040,Jarvan IV,False
EUW1_6961457781,Jarvan IV,False
EUW1_6961269356,Jarvan IV,True
EUW1_6961271630,Jarvan IV,True
EUW1_6962474682,Jarvan IV,False
EUW1_6961662337,Jarvan IV,True
EUW1_6963098051,Jarvan IV,True
EUW1_6962767089,Jarvan IV,False
EUW1_6961672112,Jarvan IV,True
EUW1_6962873481,Jarvan IV,False
EUW1_6963266444,Jarvan IV,False
EUW1_6962240170,Jarvan IV,False
EUW1_6959705539,Jarvan IV,True
EUW1_6960497873,Jarvan IV,False
EUW1_6963027492,Jarvan IV,True
EUW1_6962483473,Jarvan IV,True
EUW1_6962920336,Jarvan IV,True
EUW1_6962928109,Jarvan IV,False
EUW1_6960141746,Jarvan IV,False
EUW1_6962429147,Jarvan IV,False
EUW1_6963080958,Jarvan IV,True
EUW1_6963265488,Jarvan IV,False
EUW1_6962510778,Jarvan IV,False
EUW1_6962693317,Jarvan IV,True
EUW1_6962796521,Jarvan IV,False
EUW1_6961287510,Jarvan IV,False
EUW1_6963002831,Jarvan IV,True
EUW1_6962528790,Jarvan IV,True
EUW1_6962510775,Jarvan IV,True
EUW1_6962346216,Jarvan IV,False
EUW1_6960741214,Jarvan IV,False
EUW1_6963019061,Jarvan IV,True
EUW1_6962582331,Jarvan IV,False
EUW1_6962743475,Jarvan IV,True
EUW1_6962512054,Jarvan IV,False
EUW1_6961866552,Jarvan IV,False
EUW1_6959273064,Jarvan IV,False
EUW1_6963281702,Jarvan IV,True
EUW1_6962441306,Jarvan IV,False
EUW1_6959710071,Jarvan IV,False
EUW1_6961248257,Jarvan IV,False
EUW1_6959807107,Jarvan IV,False
EUW1_6963190795,Jarvan IV,True
EUW1_6963310340,Jarvan IV,True
EUW1_6963154336,Jarvan IV,True
EUW1_6958256038,Jarvan IV,True
EUW1_6962659063,Jarvan IV,True
EUW1_6961634792,Jarvan IV,True
EUW1_6963052089,Jarvan IV,False
EUW1_6954602439,Jarvan IV,False
EUW1_6960281761,Jarvan IV,True
EUW1_6961623088,Jarvan IV,True
EUW1_6959330693,Jarvan IV,False
EUW1_6953232473,Jarvan IV,True
EUW1_6961320432,Jarvan IV,False
EUW1_6958581551,Jarvan IV,True
EUW1_6962512366,Jarvan IV,False
EUW1_6952590802,Jarvan IV,False
EUW1_6963085664,Jarvan IV,True
EUW1_6962594084,Jarvan IV,False
EUW1_6956413436,Jarvan IV,False
EUW1_6961386794,Jarvan IV,True
EUW1_6960673042,Jarvan IV,True
EUW1_6961243095,Jarvan IV,True
EUW1_6956978312,Jarvan IV,True
EUW1_6962987405,Jarvan IV,False
EUW1_6961578659,Jarvan IV,False
EUW1_6963185705,Jarvan IV,False
EUW1_6962885444,Jarvan IV,True
EUW1_6962501376,Jarvan IV,True
EUW1_6962517208,Jarvan IV,True
EUW1_6963042379,Jarvan IV,False
EUW1_6962579611,Jarvan IV,True
EUW1_6961150172,Jarvan IV,False
EUW1_6962967406,Jarvan IV,False
EUW1_6962364476,Jarvan IV,True
EUW1_6961354306,Jarvan IV,False
EUW1_6954819843,Jarvan IV,False
EUW1_6961273632,Jarvan IV,False
EUW1_6963004273,Jarvan IV,False
EUW1_6962861919,Jarvan IV,True
EUW1_6961637845,Jarvan IV,False
EUW1_6963052549,Jarvan IV,False
EUW1_6962708769,Jarvan IV,False
EUW1_6961072156,Jarvan IV,True
EUW1_6956305252,Jarvan IV,True
EUW1_6956250785,Jarvan IV,False
EUW1_6962116804,Jarvan IV,False
EUW1_6961418871,Jarvan IV,True
EUW1_6962873332,Jarvan IV,True
EUW1_6961404950,Jarvan IV,False
EUW1_6962487393,Jarvan IV,False
EUW1_6962470580,Jarvan IV,False
EUW1_6958009725,Jarvan IV,True
EUW1_6960903751,Jarvan IV,True
EUW1_6959456458,Jarvan IV,False
EUW1_6962868700,Jarvan IV,True
EUW1_6957542308,Jarvan IV,False
EUW1_6962978307,Jarvan IV,True
EUW1_6962590857,Jarvan IV,True
EUW1_6962834001,Jarvan IV,True
EUW1_6961561051,Jarvan IV,False
EUW1_6963191949,Jarvan IV,True
EUW1_6963323911,Jarvan IV,True
EUW1_6963314473,Jarvan IV,False
EUW1_6963206457,Jarvan IV,True
EUW1_6962847603,Jarvan IV,False
EUW1_6956582930,Jarvan IV,False
EUW1_6961742914,Jarvan IV,False
EUW1_6956963074,Jarvan IV,True
EUW1_6962039947,Jarvan IV,False
EUW1_6959816061,Jarvan IV,True
EUW1_6961521725,Jarvan IV,True
EUW1_6963107154,Jarvan IV,False
EUW1_6962235884,Jarvan IV,True
EUW1_6959961366,Jarvan IV,False
EUW1_6962584897,Jarvan IV,False
EUW1_6963254732,Jarvan IV,False
EUW1_6963308676,Jarvan IV,True
EUW1_6962729513,Jarvan IV,True
EUW1_6963101850,Jarvan IV,False
EUW1_6963016202,Jarvan IV,True
EUW1_6962699079,Jarvan IV,True
EUW1_6961276135,Jarvan IV,True
EUW1_6961273825,Jarvan IV,True
EUW1_6963230971,Jarvan IV,False
EUW1_6962737966,Jarvan IV,True
EUW1_6962925912,Jarvan IV,False
EUW1_6963143754,Jarvan IV,False
EUW1_6959928289,Jarvan IV,False
EUW1_6962804184,Jarvan IV,True
EUW1_6963331743,Jarvan IV,False
EUW1_6962897438,Jarvan IV,False
EUW1_6960710388,Jarvan IV,False
EUW1_6962249792,Jarvan IV,True
EUW1_6962675951,Jarvan IV,False
EUW1_6962829386,Jarvan IV,True
EUW1_6962560818,Jarvan IV,False
EUW1_6957931241,Jarvan IV,True
EUW1_6957871286,Jarvan IV,True
EUW1_6958603727,Jarvan IV,False
EUW1_6963151355,Jarvan IV,False
EUW1_6961798473,Jarvan IV,False
EUW1_6961310914,Jarvan IV,False
EUW1_6957623830,Jarvan IV,False
EUW1_6961832779,Jarvan IV,True
EUW1_6958754098,Jarvan IV,True
EUW1_6955091740,Jarvan IV,False
EUW1_6960830173,Jarvan IV,False
EUW1_6962376748,Jarvan IV,False
EUW1_6962543974,Jarvan IV,True
EUW1_6961968911,Jarvan IV,False
EUW1_6960240796,Jarvan IV,True
EUW1_6958025887,Jarvan IV,True
EUW1_6963036236,Jarvan IV,True
EUW1_6962266104,Jarvan IV,False
EUW1_6959148813,Jarvan IV,False
EUW1_6963092608,Jarvan IV,False
EUW1_6960328295,Jarvan IV,True
EUW1_6960832167,Jarvan IV,False
EUW1_6961118536,Jarvan IV,True
EUW1_6963296383,Jarvan IV,False
EUW1_6962448012,Jarvan IV,False
EUW1_6959441130,Jarvan IV,False
EUW1_6963214124,Jarvan IV,True
EUW1_6957559120,Jarvan IV,False
EUW1_6962794152,Jarvan IV,False
EUW1_6963242620,Jarvan IV,True
EUW1_6962947683,Jarvan IV,True
EUW1_6960817902,Jarvan IV,False
EUW1_6959334900,Jarvan IV,True
EUW1_6960964379,Jarvan IV,False
EUW1_6959416686,Jarvan IV,True
EUW1_6962883541,Jarvan IV,False
EUW1_6961604582,Jarvan IV,False
EUW1_6962913408,Jarvan IV,True
EUW1_6960731782,Jarvan IV,True
EUW1_6950132378,Jarvan IV,True
EUW1_6961951180,Jarvan IV,False
EUW1_6959212503,Jarvan IV,False
EUW1_6962016356,Jarvan IV,False
EUW1_6962716487,Jarvan IV,False
EUW1_6962765861,Jarvan IV,True
EUW1_6962615768,Jarvan IV,False
EUW1_6952178266,Jarvan IV,True
EUW1_6962474927,Jarvan IV,False
EUW1_6959722568,Jarvan IV,True
EUW1_6963269622,Jarvan IV,True
EUW1_6961475536,Jarvan IV,True
EUW1_6963301537,Jarvan IV,False
EUW1_6962275610,Jarvan IV,False
EUW1_6960307477,Jarvan IV,True
EUW1_6963194940,Jarvan IV,False
EUW1_6961355971,Jarvan IV,True
EUW1_6959543884,Jarvan IV,False
EUW1_6956926435,Jarvan IV,True
EUW1_6962816611,Jarvan IV,True
EUW1_6960048350,Jarvan IV,True
EUW1_6961318764,Jarvan IV,False
EUW1_6962214366,Jarvan IV,True
EUW1_6960393555,Jarvan IV,False
EUW1_6955780657,Jarvan IV,False
EUW1_6962616760,Jarvan IV,False
EUW1_6963297782,Jarvan IV,True
EUW1_6962460226,Jarvan IV,True
EUW1_6962032175,Jarvan IV,True
EUW1_6962472495,Jarvan IV,True
EUW1_6962597598,Jarvan IV,False
EUW1_6959028830,Jarvan IV,False
EUW1_6962781822,Jarvan IV,True
EUW1_6960756048,Jarvan IV,True
EUW1_6962500239,Jarvan IV,True
EUW1_6962715793,Jarvan IV,True
EUW1_6961516798,Jarvan IV,False
EUW1_6962611649,Jarvan IV,True
EUW1_6959879082,Jarvan IV,True
EUW1_6962543604,Jarvan IV,False
EUW1_6962395728,Jarvan IV,False
EUW1_6962380182,Jarvan IV,True
EUW1_6959611818,Jarvan IV,False
EUW1_6959537749,Jarvan IV,False
EUW1_6961286753,Jarvan IV,True
EUW1_6963170326,Jarvan IV,True
EUW1_6960079506,Jarvan IV,True
EUW1_6955677164,Jarvan IV,False
EUW1_6957677010,Jarvan IV,True
EUW1_6962757889,Jarvan IV,False
EUW1_6958647898,Jarvan IV,True
EUW1_6960816560,Jarvan IV,True
EUW1_6961601128,Jarvan IV,True
EUW1_6960212762,Jarvan IV,True
EUW1_6962821678,Jarvan IV,True
EUW1_6962131913,Jarvan IV,False
EUW1_6962669154,Jarvan IV,True
EUW1_6961500887,Jarvan IV,False
EUW1_6961604241,Jarvan IV,False
EUW1_6958448989,Jarvan IV,False
EUW1_6958406710,Jarvan IV,False
EUW1_6961812037,Jarvan IV,True
EUW1_6953061212,Jarvan IV,True
EUW1_6961674172,Jarvan IV,True
EUW1_6960315488,Jarvan IV,False
EUW1_6961329809,Jarvan IV,False
EUW1_6961714463,Jarvan IV,True
EUW1_6960134837,Jarvan IV,False
EUW1_6962299883,Jarvan IV,False
EUW1_6962792664,Jarvan IV,True
EUW1_6950172150,Jarvan IV,False
EUW1_6962940077,Jarvan IV,True
EUW1_6951617050,Jarvan IV,False
EUW1_6959373582,Jarvan IV,True
EUW1_6960226941,Jarvan IV,False
EUW1_6962974457,Jarvan IV,True
EUW1_6963099247,Jarvan IV,False
EUW1_6961629765,Jarvan IV,False
EUW1_6961359455,Jarvan IV,True
EUW1_6962408112,Jarvan IV,True
EUW1_6962042154,Jarvan IV,True
EUW1_6959518155,Jarvan IV,True
EUW1_6955732543,Jarvan IV,False
EUW1_6961907513,Jarvan IV,False
EUW1_6947182214,Jarvan IV,True
EUW1_6955846768,Jarvan IV,False
EUW1_6961599754,Jarvan IV,False
EUW1_6961450165,Jarvan IV,True
EUW1_6959866145,Jarvan IV,False
EUW1_6962543674,Jarvan IV,False
EUW1_6962505234,Jarvan IV,False
EUW1_6962913277,Jarvan IV,False
EUW1_6962614693,Jarvan IV,False
EUW1_6957228481,Jarvan IV,True
EUW1_6962645036,Jarvan IV,True
EUW1_6948922407,Jarvan IV,True
EUW1_6962918881,Jarvan IV,True
EUW1_6960496936,Jarvan IV,False
EUW1_6962779197,Jarvan IV,False
EUW1_6957168186,Jarvan IV,False
EUW1_6963273669,Jarvan IV,True
EUW1_6962543824,Jarvan IV,False
EUW1_6961988952,Jarvan IV,True
EUW1_6962743992,Jarvan IV,True
EUW1_6960741411,Jarvan IV,True
EUW1_6949707641,Jarvan IV,False
EUW1_6961627025,Jarvan IV,False
EUW1_6961719313,Jarvan IV,True
EUW1_6961686910,Jarvan IV,True
EUW1_6961564717,Jarvan IV,False
EUW1_6960342139,Jarvan IV,False
EUW1_6958741192,Jarvan IV,True
EUW1_6962333097,Jarvan IV,False
EUW1_6959163202,Jarvan IV,False
EUW1_6962352884,Jarvan IV,False
EUW1_6962741920,Jarvan IV,False
EUW1_6961292866,Jarvan IV,False
EUW1_6961923503,Jarvan IV,True
EUW1_6962292910,Jarvan IV,False
EUW1_6962497818,Jarvan IV,False
EUW1_6961347747,Jarvan IV,False
EUW1_6962295358,Jarvan IV,False
EUW1_6961014409,Jarvan IV,True
EUW1_6962304933,Jarvan IV,True
EUW1_6958038032,Jarvan IV,True
EUW1_6962297748,Jarvan IV,True
EUW1_6962753882,Jarvan IV,True
EUW1_6960335785,Jarvan IV,True
EUW1_6960283912,Jarvan IV,False
EUW1_6962337387,Jarvan IV,False
EUW1_6962992304,Jarvan IV,True
EUW1_6961273102,Jarvan IV,False
EUW1_6962380328,Jarvan IV,True
EUW1_6962373194,Jarvan IV,False
EUW1_6958166409,Jarvan IV,True
EUW1_6957145909,Jarvan IV,False
EUW1_6960372180,Jarvan IV,True
EUW1_6960270038,Jarvan IV,True
EUW1_6962453253,Jarvan IV,True
